bundle	seed	status	trace_hash	raw_file_hash	row_count	error
51-D1/51-P-01	71001	success	fd7360ac52f01fa56e77d251a23819534771983981471d81ab7abcbb710ed740	ecb1ef2ecf7695e44631da8f1f6fe3230403327551a6a12e9be246d41147d66c	103	
51-D1/51-P-01	71002	success	18a309bad1d429e7c41db610ccafa3be631d70df28a4e88d79db1128094c8de1	20efe39ba8d90dc81336bb4fca809265b95cd042192ccae9d57f54bc48e869a5	103	
51-D1/51-P-01	71003	success	62059ee1098898181291a9c02f79c30518223556101e8f28749fc65de44d53ff	3d15f1813e05cd87f795c2806f214c060b4c6ef4d8735da3fa61c3ffd3daa173	103	
51-D1/51-P-01	71004	success	7b2a6d80720263292ba3d5b72ca2fb25c3053727a388117d047547136fca6e64	5a0cab56b0b8e4702518c26f79aa6892902b1bc50dd134d9385854894f44adf2	103	
51-D1/51-P-01	71005	success	94a22234737a019becef33cacf36b309f7265a0213d4922877cc0fe652a95c4d	79d70f1a6252edaaa42814aaf6d1f816eb9a7d9f86aec37163aaa795aa5b50ed	103	
51-D1/51-P-01	71006	success	47b73135b100b401c945884cfdac1f204f4f3f4071cdf69528f6adac11ad8787	e935f13e36457e3b9d8e7e097708cdac9c6b32cf0d1093a3f1d0f5a6a465d102	103	
51-D1/51-P-01	71007	success	767503cd9bf9113e7c8c97952db8c73bef7aa64acc52b7f3e2ed1decc1c43120	e61c7f7377b75e8c947a0297d45870323edf2a2f897f4192a55814328bc2703b	103	
51-D1/51-P-01	71008	success	7cd5c3cd5036dafb57381093bffd27fd555d3ac7f7f62c7691ebc62c710b1f73	a494ff06d2d046a3bcba477a5799782362e2cd14ac46705c52211563912bd1df	103	
51-D1/51-P-02	71001	success	fdf5a0a60555e4f2151af27aa03db0cf66c5d6a8bf7ca07d535b156f10597508	b944b0f981cba9c3c5de30780ccc4bba4c3e0b3c618e335ca8c721cf2902014b	103	
51-D1/51-P-02	71002	success	294f1b5f7b90bee24bbff0cf31e97f406421a99669680d67e40ea5163d7c90b8	a7847acb4556944677df091839f8e7ff3fbf792ff676cec620a899cc812272a3	103	
51-D1/51-P-02	71003	success	e442c3913340b5ff83a6db01096add8f9199a981d86d091f93aa36b7f0c9f5ce	8b1fabc61bccad34020713bf213e060fe670deab403c4e64bc161c060d02c590	103	
51-D1/51-P-02	71004	success	d7867a87c19e2ab86a8b08c3c18ffa1f7ef2b36c9848e2658503c4a627396aaa	642cd3a895c9d8f7b7f8f8c8fb292d2f870f2c4ae55ea58cdf874ee4a5b06336	103	
51-D1/51-P-02	71005	success	1799fc8d079ded34bcad3ab39f15cc739dd9609f2f34e9ea1c6e5a680eed052e	d43f40e3fa5faad8e1392add3f51c64facc1c460cb640e3f72d58fba19a66d9b	103	
51-D1/51-P-02	71006	success	da5b1c2b01e1f6ec7f4bed719293b24cbfc780c1948897642b42defdf201d5d6	5c20d44cd9bd0abb63f07314a05a5a0874b052044490f337882c68d1a93eb086	103	
51-D1/51-P-02	71007	success	043a7319240de99c1ce78d2a3a27641125f8f9ad19d5ba92de582b65bf180fd7	4def80a6fc3455c0c0b0a30614c84b65af151653c3b1b3a5eb1b22089d8c6780	103	
51-D1/51-P-02	71008	success	959849516469c2a052f19482d2000599d0a2e39d8ca56e925fed2ba01917931d	68deebf9efe80f03fe0bb30e7d77878e36ec10e17a94953ae36ed07dd014b9b6	103	
51-D1/51-P-03	71001	success	eef5be6ed3e6de949f687d83caa9bacf30a3fc569ffb428d7ebc6c10bb306c86	4699aba77c607b1cd58089f4bef07851349f9a4652c92e52998154220aac6c68	103	
51-D1/51-P-03	71002	success	2f0be4171921b833e399b509ab6ed6e6315e656aa9bf04c419ddd22116f7332f	fb60203dd958196437db10f4765fbf0dc71a0b66b951387ae3cbf4ddbf81f05b	103	
51-D1/51-P-03	71003	success	75c5b52a05910b4ce5a81cff719d735a93b4eebd3769a485f9d8ad828e1beb51	2a0c2638e5ca6c63953cd904ac68afc229fd28f31644c54a66c5217c71e7575f	103	
51-D1/51-P-03	71004	success	fa818ac5c089c059e15754bdb36200d3239d1eadd22f6a7f937a734ac6572ca8	a77a49da57bcdc01588dad4feb960e097cf3a9aed86bbea35735e2250c4e31c6	103	
51-D1/51-P-03	71005	success	ff7a2fbbe190d02a8c2656d7fb12b8119c92568214782a5dfd435554536895a5	42c4871bb575a356de1dca8a228a34109e02f8870d6f98bb66123fcfddec2adb	103	
51-D1/51-P-03	71006	success	d68a4d2f521d30cdf140a92b309fb3896138fdc1c05f9f9fe31a73c65af030c8	30b12d4bad56a12f585e769a3ea8fec140e8b4d0dee3f42244cc196a76a1a050	103	
51-D1/51-P-03	71007	success	c9a6024178421bf876ce7c5b122b4a39a79f783be41da52beb9e88e2394319f3	b5e5a9f21a9ca189425adecbed3e82dcd79dc0bd436ae82c1e45a04d03d40ffd	103	
51-D1/51-P-03	71008	success	f2b37f7de5b28736a2d372360e0cc734772c7e997042da3789ab61b62db53687	de2c6ddf8c5e4ba4c973688383fbd4dd7937420a19de7e910420ec3ec0b2a528	103	
51-D7/51-P-07	71001	scientific_failure	019ae8022c119a099b20b8ee47b86b6ff10b4c8dea7adbccc4ff205d815c5832	e63777f625fdf738b8f765f89163fe5d983167c52b101eb289da213dba215824	93	
51-D7/51-P-07	71002	scientific_failure	709a3243ddc0e06732f7a0ab6c6e9c99fd6f87f4bf92e5250c370be0740a29bf	8dd1cbfa0cbf8a5db184cfed7252af3f47ec6962df852fad6f01c81a92280bba	93	
51-D7/51-P-07	71003	scientific_failure	93503b278f0435411354497669ae201a80c7bc600a0cacf2f78e5b216375beda	baaaa5fab11051924205a0d5b4b1b3e09ae011dc9ea5ef1fcfe88977ea1da3af	93	
51-D7/51-P-07	71004	scientific_failure	1a8e30a5b4a3302e9735a865230a6a3f25eabd86f6aa6d6c73f9ffa289e732c3	e12b903da5b9ce8e18ec39e0fe231aeca1996895b5573f784b82119698781ef1	93	
51-D7/51-P-07	71005	scientific_failure	3bc690f4dafd168d1a2f9a4d24fa0991d720c9eeec75354bd4df5ec9d14c4c09	9ba0cac7ddda0288729aed0b3c2ec279e47574e3b8b42f249a1dc5781657f791	93	
51-D7/51-P-07	71006	scientific_failure	ee30a82ba1bbba62fe5457934fa160b023a1c3eff55a393025f10f828113f90d	ee673bff4b2346cf105088368de268006986b04aaf79dfbc8dbf867294155eca	93	
51-D7/51-P-07	71007	scientific_failure	d993aa3559a34f0c4be55157ee6682f54cde24216316e0a5defa05e203d87dd5	00be5fb106bc0a4436b69aba75c0710ab1b1f580a463c6a355fb75a1547fff3d	93	
51-D7/51-P-07	71008	scientific_failure	54cbd3ff44a7e949fbcbbd42e8981e10f67899d1dca36a6b78b4b16ae75a75e3	1156bcd5bb70194c1182032cd8d43019ea12284e4cad9f10d5a67790038ec715	93	
51-D8/51-P-08	71001	scientific_failure	611bf3f4f3901966fe00bf2c63d9f2bde4461fff78a02110e471ec1ef7b24487	6a8538cb807fd9d753615cb1114fb74500de489069ad4c19707a966965a570e9	135	
51-D8/51-P-08	71002	scientific_failure	3da013b198e3622eaee7178481d66f3f8d5258d21e91d81c95009ebba9f2e34c	ac8bafb23d41fc42b886d450d5d83f0f4050896cdf542ba5e4b52c800df1d907	135	
51-D8/51-P-08	71003	scientific_failure	e4bafc6ef9053b8f6615108f0181206ef455142098f5a9a8f0f11225b196750e	0491df23787271db7808225707d1e319d95dac2dbc07c4cb283a4a4a17af2bf3	135	
51-D8/51-P-08	71004	scientific_failure	c79759f1586eef8daeac8239b078aa9d772badf52dd8e07746fc3f5e3441f749	9e2d2fdd3e42fcefa1a8b9694b6af023955e78351f5c097797aac3f2c3c9d5a0	135	
51-D8/51-P-08	71005	scientific_failure	84f06dc86188285baf54c406a5942d3653d1aec457d703308a987b29932c6694	cbd6a228e137e344434dce2745da1e3cf777f8cee6e07b2b367ad1eea7f5fe4f	135	
51-D8/51-P-08	71006	scientific_failure	0b99662ffad179b24ceed710d31bb332d239f5a9500eaf1e62d2ebbe07aa783a	331ebe5d413b2ff98179beff6245e39af7bf397a63700405e03999e0905c793c	135	
51-D8/51-P-08	71007	scientific_failure	43cdf9b18a93caa4a9646570973a528748435b5830bd7a53e296d12a8b919787	198e9b0907088b77c4cd2ebf39eb508513308f4abfe8c0f6dbbf74dca0c5dccb	135	
51-D8/51-P-08	71008	scientific_failure	38208d3e24c3e5efcabe908ed503843eb60295a492f92abe3afbefcb285dbd41	9918e2815f8d0bfd916cccfb1342a9de852c0c8e499e1729895078a0994001b5	135	
