seed,bank_seed,stratum,initial_state_hash,clone_identity,selected,heldout,transfer,raw_transfer,G_fixed_transfer,single_regime_global_transfer,historical_retention,shuffled_selected,single_regime_selected,initial_q_P
784000,820001,strong,cdfb4930901fd6a98b60bc9d34265ddcc57f2ac534cfe6f60d4099917434b713,True,context_split,"{""best_matched_comparator"": ""global_downweight"", ""generating_family_margin"": 0.2521876412722879, ""heldout_log_per_observation"": [-1.998534063294512, -2.0534855287764664, -1.7463464220222242, -1.9953167688502607, -3.3204377424625466], ""matched_comparators"": [""global_downweight""], ""maximum_decomposition_error"": 1.4210854715202004e-14, ""preheldout_complexity_per_observation"": [0.4557695905516424, 0.5571568900172458, 0.4098019737778042, 0.5682871054925942, 0.10939988339996788]}",0.307725844718626,-0.307725844718626,0.0,0.307725844718626,0.0,cue_local_relearning,context_split,0.8887940021347144
784001,820002,strong,785004d2e538a70ff6f88e90c2d090ee5e493cb732a45995dea0666a989140a1,True,context_split,"{""best_matched_comparator"": ""global_downweight"", ""generating_family_margin"": 0.11368080829050609, ""heldout_log_per_observation"": [-2.203053235201793, -2.147966414439593, -2.0893724269112868, -2.1735290239996994, -2.41002919203999], ""matched_comparators"": [""global_downweight"", ""change_point""], ""maximum_decomposition_error"": 1.4210854715202004e-14, ""preheldout_complexity_per_observation"": [0.25993323280603725, 0.35964587993246333, 0.1925787833131882, 0.3570308121465628, 0.11642633911527807]}",0.381081212323231,-0.381081212323231,0.0,0.381081212323231,-1.1102230246251565e-16,cue_local_relearning,cue_local_relearning,0.8628422075865141
784002,820008,strong,6446dec70d6265b9eb07650d169893861f688a9b16d6d2e31ff4309565ec0ebe,True,context_split,"{""best_matched_comparator"": ""global_downweight"", ""generating_family_margin"": 0.2574439614473558, ""heldout_log_per_observation"": [-2.414538210173683, -2.3470264887796626, -2.1570942487263274, -2.4224081997792686, -2.3740663904657344], ""matched_comparators"": [""global_downweight"", ""continuous_drift""], ""maximum_decomposition_error"": 2.1316282072803006e-14, ""preheldout_complexity_per_observation"": [0.34003262425847147, 0.4260194706770726, 0.2956221513025293, 0.41134756671188527, 0.1131620391144532]}",0.20465845050573578,-0.20465845050573578,0.0,0.20465845050573578,0.0,global_downweight,global_downweight,0.8806262507092794
784003,820030,strong,46fd0d2269b38f03b36325648a27712ab5a41b9cd269e15866dd94db468e82fc,True,change_point,"{""best_matched_comparator"": ""global_downweight"", ""generating_family_margin"": 0.14090072807551035, ""heldout_log_per_observation"": [-2.237474959715163, -2.1795091010288585, -2.0965742316396527, -2.154442281402366, -2.142029134898813], ""matched_comparators"": [""global_downweight""], ""maximum_decomposition_error"": 1.4210854715202004e-14, ""preheldout_complexity_per_observation"": [0.2620123441230328, 0.3556577047469713, 0.1929257185834933, 0.35244889502168575, 0.04242793943555026]}",0.5152161416907429,-0.5152161416907429,0.0,0.5152161416907429,0.0,context_split,context_split,0.8757183077159478
784004,820032,very_strong,8c3caacc795ae6dd6a782136374302a8bf355913ac783c3b061d7ca8e9f9dfbe,True,context_split,"{""best_matched_comparator"": ""cue_local_relearning"", ""generating_family_margin"": -0.19727652808870477, ""heldout_log_per_observation"": [-2.483887454779776, -2.364472480782177, -2.5617490088708816, -2.461360784295496, -2.5371762548988146], ""matched_comparators"": [""global_downweight"", ""cue_local_relearning"", ""continuous_drift""], ""maximum_decomposition_error"": 1.4210854715202004e-14, ""preheldout_complexity_per_observation"": [0.324233031116044, 0.4187490665436373, 0.395629193446916, 0.39826000716419035, 0.06513898808862416]}",0.20499318103229158,-0.20499318103229158,0.0,0.20499318103229158,0.0,change_point,context_split,0.94837591222579
784005,820033,very_strong,5c667e55a15b4bbb3894f58326d02ae9292cb6f750774edecfd1fe601246741d,True,change_point,"{""best_matched_comparator"": ""continuous_drift"", ""generating_family_margin"": -0.06755269298576039, ""heldout_log_per_observation"": [-1.373170815183062, -1.4827228415940938, -1.352830892354917, -1.2852781993691567, -1.311738730186149], ""matched_comparators"": [""global_downweight"", ""cue_local_relearning"", ""continuous_drift"", ""change_point""], ""maximum_decomposition_error"": 1.4210854715202004e-14, ""preheldout_complexity_per_observation"": [0.22869695425819536, 0.3228252259377364, 0.19958882292506253, 0.3030053081605437, 0.14203533806600338]}",0.1097323482872743,-0.1097323482872743,0.0,0.1097323482872743,0.0,change_point,continuous_drift,0.9188974824066823
784006,820041,strong,b152390300eec85783c350526a9d8e44009f4eb7aa1acb12e40f425ba10072b1,True,context_split,"{""best_matched_comparator"": ""global_downweight"", ""generating_family_margin"": -0.08111218859794667, ""heldout_log_per_observation"": [-2.1376025194220576, -2.187417717082341, -2.2187147080200043, -2.100529741249024, -2.243646390826706], ""matched_comparators"": [""global_downweight"", ""change_point""], ""maximum_decomposition_error"": 7.105427357601002e-15, ""preheldout_complexity_per_observation"": [0.2612959315709587, 0.3566461423576841, 0.15713202241750446, 0.36000456909389095, 0.0415930309005814]}",0.5343927754504163,-0.5343927754504163,0.0,0.5343927754504163,0.0,global_downweight,global_downweight,0.8537184568760733
784007,820050,moderate,c32c12b4d530bf79bebb7f69aa854866d3637eb28610fe4f14585cacbc751ceb,True,cue_local_relearning,"{""best_matched_comparator"": ""change_point"", ""generating_family_margin"": -0.07051078101519526, ""heldout_log_per_observation"": [-2.597566888500258, -2.4339512166464328, -2.429854295481266, -2.4301165996162473, -2.3593435144660706], ""matched_comparators"": [""global_downweight"", ""cue_local_relearning"", ""continuous_drift"", ""change_point""], ""maximum_decomposition_error"": 1.4210854715202004e-14, ""preheldout_complexity_per_observation"": [0.31619590133544656, 0.41961754790358435, 0.31739794092341855, 0.4325708578564715, 0.1972968193966732]}",0.3303834808259065,0.3303834808259065,0.0,0.33038348082590674,0.0,cue_local_relearning,context_split,0.6229079404765608
784008,820056,very_strong,fbe8a904f4e8340470e02d36e8f82780403436c7d3a7b1e14b7e2c3beaa30ccc,True,context_split,"{""best_matched_comparator"": ""change_point"", ""generating_family_margin"": -0.12187901812779067, ""heldout_log_per_observation"": [-2.5568802403481596, -2.27678270218183, -1.891410163454963, -1.993160171028003, -1.7695311453271723], ""matched_comparators"": [""global_downweight"", ""change_point""], ""maximum_decomposition_error"": 2.1316282072803006e-14, ""preheldout_complexity_per_observation"": [0.33043131770645684, 0.43216548860621057, 0.2860608698587637, 0.43773764090870637, 0.23621317512131726]}",0.7546277471796132,-0.7546277471796132,0.0,0.7546277471796132,0.0,context_split,context_split,0.9771811749311494
784009,820059,moderate,2aea0989626206cd4157385a506ac417827da012d59b5c84078e6a79a706d89a,True,context_split,"{""best_matched_comparator"": ""cue_local_relearning"", ""generating_family_margin"": 0.20669244304867274, ""heldout_log_per_observation"": [-1.9198526780326945, -1.8086115489875088, -1.601919105938836, -1.880676033913601, -2.361920979009117], ""matched_comparators"": [""global_downweight"", ""cue_local_relearning"", ""continuous_drift"", ""change_point""], ""maximum_decomposition_error"": 0.0, ""preheldout_complexity_per_observation"": [0.4011143636730161, 0.49431348685913856, 0.43209384539811224, 0.5087994588870265, 0.3692205829001804]}",0.2375869958233061,0.2375869958233061,0.0,0.2375869958233061,0.0,context_split,global_downweight,0.6794592846847677
