seed,family,length,matched,margin_nats_per_token,best_matched_comparator,matched_comparators_JSON
786000,global_downweight,32,True,-0.3124468267988805,change_point,"[""cue_local_relearning"", ""context_split"", ""continuous_drift"", ""change_point""]"
786001,global_downweight,32,True,-0.0410846979872348,continuous_drift,"[""cue_local_relearning"", ""context_split"", ""continuous_drift"", ""change_point""]"
786002,global_downweight,32,True,0.01907630537496452,continuous_drift,"[""cue_local_relearning"", ""context_split"", ""continuous_drift""]"
786003,global_downweight,32,True,0.01878249618318506,context_split,"[""cue_local_relearning"", ""context_split"", ""continuous_drift"", ""change_point""]"
786004,global_downweight,32,True,0.031342445579889855,context_split,"[""cue_local_relearning"", ""context_split"", ""continuous_drift"", ""change_point""]"
786005,global_downweight,32,True,-0.2739376182925337,change_point,"[""cue_local_relearning"", ""context_split"", ""continuous_drift"", ""change_point""]"
786006,global_downweight,32,True,-0.040379826388488915,cue_local_relearning,"[""cue_local_relearning"", ""context_split"", ""continuous_drift"", ""change_point""]"
786007,global_downweight,32,True,-0.07053509239984823,change_point,"[""cue_local_relearning"", ""context_split"", ""continuous_drift"", ""change_point""]"
786008,global_downweight,32,True,0.03868502318697509,continuous_drift,"[""cue_local_relearning"", ""context_split"", ""continuous_drift"", ""change_point""]"
786009,global_downweight,32,True,-0.0005339041185798976,continuous_drift,"[""cue_local_relearning"", ""context_split"", ""continuous_drift""]"
786010,global_downweight,32,True,-0.04301474663603244,continuous_drift,"[""cue_local_relearning"", ""context_split"", ""continuous_drift""]"
786011,global_downweight,32,True,-0.11904031690294836,cue_local_relearning,"[""cue_local_relearning"", ""context_split"", ""continuous_drift""]"
786012,global_downweight,32,True,-0.0854778497418085,cue_local_relearning,"[""cue_local_relearning"", ""context_split"", ""continuous_drift""]"
786013,global_downweight,32,True,-0.03800078248429717,continuous_drift,"[""cue_local_relearning"", ""context_split"", ""continuous_drift"", ""change_point""]"
786014,global_downweight,32,True,0.048614893103196444,continuous_drift,"[""cue_local_relearning"", ""context_split"", ""continuous_drift"", ""change_point""]"
786015,global_downweight,32,True,0.09770451942079372,cue_local_relearning,"[""cue_local_relearning"", ""context_split"", ""continuous_drift""]"
786016,global_downweight,32,True,-0.016720212400964662,continuous_drift,"[""cue_local_relearning"", ""context_split"", ""continuous_drift"", ""change_point""]"
786017,global_downweight,32,True,0.011908937089706306,cue_local_relearning,"[""cue_local_relearning"", ""context_split"", ""continuous_drift"", ""change_point""]"
786018,global_downweight,32,True,-0.01686768078891987,cue_local_relearning,"[""cue_local_relearning"", ""continuous_drift""]"
