draw_seed,constant,factor,sampled_value
713204,bayes_reliability,1.0112069270419686,0.8291896801744142
713204,history_learning_rate,0.982165192387736,0.7071589385191699
713204,root_evidence_weight,0.9514626783191517,0.36155581776127765
713204,field_learning_rate,0.9092601694287519,0.21822244066290045
713204,outcome_risk_weight,0.9459125349273203,0.3216102618752889
713204,dyad_packet_mass,0.9245756743927745,0.9245756743927745
713205,bayes_reliability,0.9324869549586198,0.7646393030660682
713205,history_learning_rate,1.0880756144065071,0.7834144423726851
713205,root_evidence_weight,1.0115438784680837,0.3843866738178718
713205,field_learning_rate,0.9482857915162846,0.2275885899639083
713205,outcome_risk_weight,1.094034404648562,0.3719716975805111
713205,dyad_packet_mass,0.9414085374497143,0.9414085374497143
713206,bayes_reliability,0.9951217103533745,0.815999802489767
713206,history_learning_rate,1.0444519463864292,0.752005401398229
713206,root_evidence_weight,0.912227215286188,0.3466463418087514
713206,field_learning_rate,1.0384613045611484,0.2492307130946756
713206,outcome_risk_weight,1.0424697023616885,0.3544396988029741
713206,dyad_packet_mass,1.027660863579626,1.027660863579626
713207,bayes_reliability,1.096087062504488,0.8987913912536801
713207,history_learning_rate,0.9241640538062273,0.6653981187404837
713207,root_evidence_weight,0.9458323250021154,0.3594162835008039
713207,field_learning_rate,1.0783391401707856,0.25880139364098853
713207,outcome_risk_weight,1.0074535460125331,0.3425342056442613
713207,dyad_packet_mass,0.9876954271459378,0.9876954271459378
713208,bayes_reliability,0.9006370184843742,0.7385223551571868
713208,history_learning_rate,0.9774264727191051,0.7037470603577557
713208,root_evidence_weight,0.9708214291558319,0.36891214307921616
713208,field_learning_rate,0.9934502859895763,0.2384280686374983
713208,outcome_risk_weight,0.9127572834517018,0.3103374763735786
713208,dyad_packet_mass,0.9717393994892312,0.9717393994892312
713209,bayes_reliability,0.9376316735311016,0.7688579722955032
713209,history_learning_rate,1.0903653636960824,0.7850630618611792
713209,root_evidence_weight,1.0473856432305788,0.39800654442761996
713209,field_learning_rate,0.9337383912457895,0.22409721389898948
713209,outcome_risk_weight,0.9014177424964878,0.30648203244880584
713209,dyad_packet_mass,0.9472811120176667,0.9472811120176667
713210,bayes_reliability,0.9712024460996841,0.7963860058017409
713210,history_learning_rate,0.9205471252171826,0.6627939301563714
713210,root_evidence_weight,0.9882563338205846,0.3755374068518222
713210,field_learning_rate,1.0750730683223917,0.258017536397374
713210,outcome_risk_weight,0.9346125329101023,0.3177682611894348
713210,dyad_packet_mass,1.069145079648965,1.069145079648965
713211,bayes_reliability,0.9331172838647911,0.7651561727691286
713211,history_learning_rate,0.995747727561107,0.716938363843997
713211,root_evidence_weight,0.926340048550396,0.35200921844915045
713211,field_learning_rate,1.0247839592587904,0.2459481502221097
713211,outcome_risk_weight,0.9198310729267846,0.31274256479510676
713211,dyad_packet_mass,0.9669875640056322,0.9669875640056322
713212,bayes_reliability,0.9497824393675047,0.7788216002813538
713212,history_learning_rate,0.9386671365986097,0.675840338350999
713212,root_evidence_weight,0.9554790791779408,0.3630820500876175
713212,field_learning_rate,0.9126807907852323,0.21904338978845575
713212,outcome_risk_weight,1.0156549188607678,0.34532267241266107
713212,dyad_packet_mass,1.0620231064369263,1.0620231064369263
713213,bayes_reliability,0.9652062442728995,0.7914691203037775
713213,history_learning_rate,0.9047494288168588,0.6514195887481383
713213,root_evidence_weight,1.0210633187216978,0.3880040611142451
713213,field_learning_rate,1.0505800185191432,0.25213920444459437
713213,outcome_risk_weight,0.9988265434516513,0.33960102477356147
713213,dyad_packet_mass,0.9206391379161623,0.9206391379161623
713214,bayes_reliability,0.9738762852639372,0.7985785539164285
713214,history_learning_rate,1.0440444079686255,0.7517119737374104
713214,root_evidence_weight,1.0257214383299706,0.38977414656538883
713214,field_learning_rate,1.0664774567194537,0.25595458961266887
713214,outcome_risk_weight,1.076769592969736,0.3661016616097103
713214,dyad_packet_mass,0.9048374463576766,0.9048374463576766
713215,bayes_reliability,1.0991373704242118,0.9012926437478536
713215,history_learning_rate,0.961595977749978,0.6923491039799841
713215,root_evidence_weight,0.9567565359718789,0.363567483669314
713215,field_learning_rate,0.9401758822083374,0.22564221173000096
713215,outcome_risk_weight,0.9797031679423519,0.33309907710039965
713215,dyad_packet_mass,0.9115964752787156,0.9115964752787156
713216,bayes_reliability,0.9451037605611918,0.7749850836601773
713216,history_learning_rate,0.9335655683055407,0.6721672091799893
713216,root_evidence_weight,0.9396530930004725,0.35706817534017954
713216,field_learning_rate,1.0806197189365028,0.25934873254476065
713216,outcome_risk_weight,0.9791713829180527,0.33291827019213793
713216,dyad_packet_mass,1.0766777927180946,1.0766777927180946
713217,bayes_reliability,0.9272991559066937,0.7603853078434888
713217,history_learning_rate,0.9717163006235642,0.6996357364489662
713217,root_evidence_weight,0.9146113575415408,0.3475523158657855
713217,field_learning_rate,1.0245424895637316,0.2458901974952956
713217,outcome_risk_weight,0.9736630486905119,0.3310454365547741
713217,dyad_packet_mass,1.010438839911827,1.010438839911827
