seed,event_id,event_kind,partner_positive,competence_positive,tolerated_positive,root_now_positive,policy,policy_cost,policy_success,update_path
51000,"history:51000:1",joint_development,false,true,true,true,exclusion,0.24175881610960664,true,"replay_history!"
51000,"history:51000:2",joint_development,false,true,false,false,hypervigilance,0.6060155172051161,false,"replay_history!"
51000,"history:51000:3",joint_development,true,false,false,false,internal_attack,0.7016139516528386,true,"replay_history!"
51000,"history:51000:4",joint_development,false,true,true,false,oscillation,0.7536027518338678,false,"replay_history!"
51000,"history:51000:5",joint_development,false,false,true,false,exclusion,0.04214979442648217,true,"replay_history!"
51000,"history:51000:6",joint_development,true,false,true,false,hypervigilance,0.4956532275523158,false,"replay_history!"
51000,"history:51000:7",joint_development,true,false,true,false,internal_attack,0.7066718400050166,true,"replay_history!"
51000,"history:51000:8",joint_development,false,false,true,false,oscillation,0.6904707782896287,true,"replay_history!"
51000,"history:51000:9",joint_development,true,true,true,false,exclusion,0.12475786805367613,true,"replay_history!"
51000,"history:51000:10",joint_development,false,true,true,true,hypervigilance,0.6350053674751598,true,"replay_history!"
51000,"history:51000:11",joint_development,true,true,true,false,internal_attack,0.7637551671804608,true,"replay_history!"
51000,"history:51000:12",joint_development,true,false,false,false,oscillation,0.7458130957185303,true,"replay_history!"
51000,"history:51000:13",joint_development,true,true,false,true,exclusion,0.22605700751301133,false,"replay_history!"
51000,"history:51000:14",joint_development,false,true,false,false,hypervigilance,0.5017553125696436,true,"replay_history!"
51000,"history:51000:15",joint_development,false,false,true,true,internal_attack,0.6093085077993132,true,"replay_history!"
51000,"history:51000:16",joint_development,true,false,true,false,oscillation,0.7133662953207884,false,"replay_history!"
51000,"history:51000:17",joint_development,false,false,true,false,exclusion,0.2081328175956883,true,"replay_history!"
51000,"history:51000:18",joint_development,true,true,false,false,hypervigilance,0.6557736708837877,true,"replay_history!"
51001,"history:51001:1",joint_development,false,false,true,false,exclusion,0.16044351015876906,true,"replay_history!"
51001,"history:51001:2",joint_development,false,false,true,false,hypervigilance,0.5546499207746747,false,"replay_history!"
51001,"history:51001:3",joint_development,false,false,false,false,internal_attack,0.6257985743731969,true,"replay_history!"
51001,"history:51001:4",joint_development,false,true,true,false,oscillation,0.7138909760469764,false,"replay_history!"
51001,"history:51001:5",joint_development,false,false,true,false,exclusion,0.17680168225974216,true,"replay_history!"
51001,"history:51001:6",joint_development,true,true,true,false,hypervigilance,0.8096695777941385,true,"replay_history!"
51001,"history:51001:7",joint_development,true,true,false,true,internal_attack,0.4833081224704976,true,"replay_history!"
51001,"history:51001:8",joint_development,false,false,true,true,oscillation,0.8208876894448344,false,"replay_history!"
51001,"history:51001:9",joint_development,true,true,false,true,exclusion,0.13099129868046655,true,"replay_history!"
51001,"history:51001:10",joint_development,false,true,false,true,hypervigilance,0.4808000990445671,false,"replay_history!"
51001,"history:51001:11",joint_development,true,true,false,false,internal_attack,0.6722330209576721,false,"replay_history!"
51001,"history:51001:12",joint_development,false,true,true,false,oscillation,0.8013549100822794,true,"replay_history!"
51001,"history:51001:13",joint_development,true,false,true,true,exclusion,0.28520368407100605,false,"replay_history!"
51001,"history:51001:14",joint_development,false,false,false,true,hypervigilance,0.703806883969119,false,"replay_history!"
51001,"history:51001:15",joint_development,false,true,false,false,internal_attack,0.6206693607649898,false,"replay_history!"
