stage,seed,no_refusal_accuracy,after_refusal_accuracy,pre_refusal_posteriors_equal,remaining_trust_growth,pressuring_trust_growth,posterior_outcome,posterior_competence,posterior_partner,permission_low_stakes,permission_high_stakes,permission_gap,stakes_posteriors_matched,local_transfer,shared_transfer,transfer_tracks_inferred_variable,evidence_labels_identical,local_forecast_change,shared_competence_change,hope_baseline_permission,hope_role_permission,hope_obsolete_permission,hope_role_shift,hope_obsolete_shift,hope_posterior_max_change,high_failure_effect,low_failure_effect,smooth_success_effect,high_diagnosticity_asymmetry,low_diagnosticity_asymmetry,repair_effect,k_smooth_effect,repair_exceeds_k
pilot,14701,0.5,0.9878048780487805,true,0.4878048780487805,-0.4878048780487805,0.6947112678112306,0.7052974499699367,0.9,0.9601550224399776,0.7366043350069679,0.22355068743300976,true,0.0,0.0419146526212516,true,true,0.6461444745768076,0.6719470108733578,0.7366043350069679,0.9975320114427497,0.946239931471336,0.26092767643578185,0.20963559646436813,0.0,1.1437435122678838,0.19062391871131398,0.32406066180923376,true,false,1.1246811203967524,0.9721819854277013,true
pilot,14702,0.5,0.9878048780487805,true,0.4878048780487805,-0.4878048780487805,0.7417252655442195,0.7524340765788575,0.9,0.9639325439702613,0.8088448030718871,0.15508774089837418,true,0.0,0.035703189205417596,true,true,0.596842713261317,0.6215480337491087,0.8088448030718871,0.9978688507667645,0.9552474708383809,0.18902404769487735,0.1464026677664938,0.0,1.2079866555398702,0.20133110925664505,0.3422628857362966,true,false,1.1878535446142056,1.0267886572088898,true
pilot,14703,0.5,0.9878048780487805,true,0.4878048780487805,-0.4878048780487805,0.734262538479149,0.7450120749102586,0.9,0.9633585640101878,0.7985061498554809,0.16485241415470697,true,0.0,0.03671407412969996,true,true,0.6053169224664497,0.6301916100420162,0.7985061498554809,0.997818688667032,0.9538928180215409,0.1993125388115512,0.15538666816606006,0.0,1.19705171355791,0.19950861892631833,0.3391646521747412,true,false,1.1771008516652781,1.0174939565242236,true
pilot,14704,0.5,0.9878048780487805,true,0.4878048780487805,-0.4878048780487805,0.7408802260850813,0.7515947783470592,0.9,0.963868019033245,0.8076953344582003,0.15617268457504474,true,0.0,0.03581810460375512,true,true,0.5978155284107582,0.6225399364700588,0.8076953344582003,0.9978632300837431,0.9550954638229159,0.19016789562554282,0.14740012936471558,0.0,1.2067332770524004,0.20112221284206677,0.3419077618315135,true,false,1.1866210557681938,1.0257232854945406,true
pilot,14705,0.5,0.9878048780487805,true,0.4878048780487805,-0.4878048780487805,0.7340961396983116,0.7448463273912401,0.9,0.9633456586851334,0.7982707942701303,0.1650748644150032,true,0.0,0.03673651149586099,true,true,0.6055029031851542,0.63038138778972,0.7982707942701303,0.9978175565972924,0.9538622969327286,0.19954676232716217,0.15559150266259836,0.0,1.1968112933564468,0.19946854889274115,0.33909653311765997,true,false,1.1768644384671727,1.01728959935298,true
pilot,14706,0.5,0.9878048780487805,true,0.4878048780487805,-0.4878048780487805,0.7397306343493864,0.7504525342731317,0.9,0.9637800475679718,0.806122914520847,0.1576571330471248,true,0.0,0.03597425311027003,true,true,0.5991334663632781,0.6238838783000875,0.806122914520847,0.9978555594981231,0.954888106605105,0.19173264497727616,0.1487651920842581,0.0,1.2050344614231157,0.2008390769038526,0.34142643073654944,true,false,1.1849505537327303,1.0242792922096484,true
pilot,14707,0.5,0.9878048780487805,true,0.4878048780487805,-0.4878048780487805,0.7298004704429382,0.7405635839308239,0.9,0.9630108696410229,0.7921217304784772,0.17088913916254567,true,0.0,0.03731417025915096,true,true,0.6102601186945347,0.6352369369512458,0.7921217304784772,0.9977881236692061,0.9530695768941979,0.20566639319072888,0.16094784641572069,0.0,1.1906549440568608,0.1984424906761435,0.33735223414944393,true,false,1.1708106949892465,1.0120567024483318,true
pilot,14708,0.5,0.9878048780487805,true,0.4878048780487805,-0.4878048780487805,0.7635437581331911,0.774005032596062,0.9,0.9655579134232762,0.8366768658724701,0.1288810475508061,true,0.0,0.03269821436982423,true,true,0.5704930349621405,0.5947134999715324,0.8366768658724701,0.9980088913640267,0.9590515304656249,0.16133202549155656,0.12237466459315471,0.0,1.2417649437656382,0.2069608239609397,0.3518334007335975,true,false,1.2210688613695442,1.0555002022007924,true
pilot,14709,0.5,0.9878048780487805,true,0.4878048780487805,-0.4878048780487805,0.7440975232263725,0.7547886783204493,0.9,0.9641130470310842,0.8120428374563612,0.15207020957472306,true,0.0,0.035379986740926794,true,true,0.5940933774490531,0.6187452374359734,0.8120428374563612,0.9978845493871453,0.9556723139582121,0.18584171193078414,0.14362947650185087,0.0,1.2115263076088092,0.20192105126813487,0.3432657871558293,true,false,1.1913342024819957,1.0297973614674878,true
pilot,14710,0.5,0.9878048780487805,true,0.4878048780487805,-0.4878048780487805,0.7679188426157242,0.7783075928024232,0.9,0.9658746044690096,0.8418381222497274,0.12403648221928221,true,0.0,0.0320872759608366,true,true,0.564909790581651,0.5890348692206301,0.8418381222497274,0.9980358300310985,0.9597867555686762,0.1561977077813711,0.11794863331894878,0.0,1.248883846722735,0.2081473077871225,0.3538504232381083,true,false,1.2280691159440227,1.0615512697143248,true
confirm,14751,0.5,0.9878048780487805,true,0.4878048780487805,-0.4878048780487805,0.7319607499876192,0.742718299015727,0.9,0.9631796273928799,0.7952317144892698,0.1679479129036101,true,0.0,0.03702404703286544,true,true,0.6078782707398969,0.6328055623249892,0.7952317144892698,0.9978029755856755,0.9534693908214875,0.20257126109640577,0.15823767633221775,0.0,1.1937389182753047,0.19895648637921745,0.3382260268446697,true,false,1.1738432696373828,1.014678080534009,true
confirm,14752,0.5,0.9878048780487805,true,0.4878048780487805,-0.4878048780487805,0.7160468861608289,0.7268008581000771,0.9,0.9619175493538301,0.7714824137886386,0.19043513556519154,true,0.0,0.039142883946355345,true,true,0.6249387858028286,0.6502344804170792,0.7714824137886386,0.9976911374743809,0.950468651214617,0.2262087236857423,0.1789862374259784,0.0,1.1715734123928516,0.19526223539880863,0.3319458001779747,true,false,1.1520471888529709,0.9958374005339241,true
confirm,14753,0.5,0.9878048780487805,true,0.4878048780487805,-0.4878048780487805,0.7258257032904126,0.7365940994071486,0.9,0.9626982750473148,0.7863061599105213,0.17639211513679343,true,0.0,0.03784595092739995,true,true,0.6145875910684399,0.6396559315742693,0.7863061599105213,0.9977605293824339,0.9523277999431471,0.21145436947191254,0.16602164003262576,0.0,1.185043318255483,0.19750721970924717,0.3357622735057202,true,false,1.1652925962845582,1.0072868205171606,true
confirm,14754,0.5,0.9878048780487805,true,0.4878048780487805,-0.4878048780487805,0.6982881429054308,0.7089155721090422,0.9,0.9604562790706694,0.7426917251488175,0.2177645539218519,true,0.0,0.041455630946215405,true,true,0.6427157173402122,0.6684322521208865,0.7426917251488175,0.9975594512092592,0.9469656380342747,0.2548677260604416,0.20427391288545715,0.0,1.1482670122624365,0.19137783537707276,0.3253423201410237,true,false,1.1291292287247292,0.9760269604230711,true
confirm,14755,0.5,0.9878048780487805,true,0.4878048780487805,-0.4878048780487805,0.7546752139301586,0.7652601032354094,0.9,0.9649065923416779,0.8257889903008874,0.1391176020407905,true,0.0,0.033928249328306626,true,true,0.5814965038408849,0.6059122002487681,0.8257889903008874,0.9979531313466621,0.9575331212498754,0.1721641410457747,0.13174413094898807,0.0,1.2276974565425667,0.20461624275709447,0.3478476126870606,true,false,1.2072358322668573,1.0435428380611818,true
confirm,14756,0.5,0.9878048780487805,true,0.4878048780487805,-0.4878048780487805,0.7123876028233341,0.7231261159251279,0.9,0.9616210750069972,0.7657466229408417,0.1958744520661555,true,0.0,0.039623976268091776,true,true,0.6287072719122436,0.6540888441071463,0.7657466229408417,0.9976646098923723,0.9497603127057401,0.23191798695153054,0.1840136897648984,0.0,1.1666519754973488,0.1944419959162248,0.3305513930575822,true,false,1.1472077759057262,0.9916541791727466,true
confirm,14757,0.5,0.9878048780487805,true,0.4878048780487805,-0.4878048780487805,0.6937163340152145,0.7042900993849869,0.9,0.9600708055713626,0.7348941246754473,0.22517668089591525,true,0.0,0.04204192148424568,true,true,0.6470894669846596,0.672915998747033,0.7348941246754473,0.9975243228670575,0.9460368535490113,0.26263019819161015,0.211142728873564,0.0,1.1424950587260438,0.19041584312100734,0.3237069333057125,true,false,1.123453474413943,0.9711207999171374,true
confirm,14758,0.5,0.9878048780487805,true,0.4878048780487805,-0.4878048780487805,0.7041690814614465,0.7148528132769031,0.9,0.9609464933450516,0.7524913986488172,0.20845509469623436,true,0.0,0.0406959308320618,true,true,0.6369697101309119,0.6625457458905464,0.7524913986488172,0.9976038896962991,0.9481440220695773,0.2451124910474819,0.19565262342076006,0.0,1.155826240235252,0.19263770670587535,0.3274841013999881,true,false,1.1365624695646646,0.9824523041999644,true
