seed,full_accuracy,independent_accuracy,full_violation_accuracy,independent_violation_accuracy,violation_trials,full_coherent_accuracy,independent_coherent_accuracy,full_forecast_error,independent_forecast_error,joint_descent_rate
9801,0.6833333333333333,0.575,0.0,0.6666666666666666,3,0.7008547008547008,0.5726495726495726,0.4480779866502101,0.44807798665020915,1.0
9802,0.775,0.5,0.5,0.6,10,0.8,0.4909090909090909,0.5387404650174413,0.5387404650174418,1.0
9803,0.7416666666666667,0.5083333333333333,0.6,0.6,5,0.7478260869565218,0.5043478260869565,0.6827416192359915,0.6827416192359919,1.0
9804,0.7583333333333333,0.525,0.0,0.25,4,0.7844827586206896,0.5344827586206896,0.7724529425634038,0.772452942563404,1.0
9805,0.75,0.5166666666666667,0.2,0.4,5,0.7739130434782608,0.5217391304347826,0.46784408543259837,0.46784408543259837,1.0
9806,0.6583333333333333,0.55,0.0,0.42857142857142855,7,0.6991150442477876,0.5575221238938053,0.7602978847899944,0.7602978847899945,1.0
9807,0.7,0.4666666666666667,0.375,0.375,8,0.7232142857142857,0.4732142857142857,0.36994444972999796,0.36994444972999835,1.0
9808,0.7166666666666667,0.5166666666666667,0.3333333333333333,0.6666666666666666,6,0.7368421052631579,0.5087719298245614,0.8917316789804468,0.8917316789804474,1.0
9809,0.75,0.48333333333333334,0.0,0.6,5,0.782608695652174,0.4782608695652174,0.3232106909076651,0.32321069090766497,1.0
9810,0.8,0.5666666666666667,0.0,0.0,3,0.8205128205128205,0.5811965811965812,0.3151201098461376,0.3151201098461374,1.0
9811,0.7,0.43333333333333335,0.1111111111111111,0.4444444444444444,9,0.7477477477477478,0.43243243243243246,0.3799982673583668,0.3799982673583669,1.0
9812,0.7666666666666667,0.5,0.25,0.75,4,0.7844827586206896,0.49137931034482757,0.38675259311075205,0.38675259311075233,1.0
9813,0.675,0.5083333333333333,0.0,0.4,5,0.7043478260869566,0.5130434782608696,0.7514392513822158,0.7514392513822145,1.0
9814,0.725,0.4,0.4,0.2,5,0.7391304347826086,0.40869565217391307,0.4751214950921394,0.47512149509213975,1.0
9815,0.7333333333333333,0.5166666666666667,0.3333333333333333,0.3333333333333333,3,0.7435897435897436,0.5213675213675214,0.35176279682319206,0.3517627968231916,1.0
9816,0.65,0.5166666666666667,0.125,0.5,8,0.6875,0.5178571428571429,0.31206288410853167,0.3120628841085318,1.0
9817,0.7833333333333333,0.49166666666666664,0.4,0.6,5,0.8,0.48695652173913045,0.4577021580956225,0.45770215809562326,1.0
9818,0.7,0.5,0.16666666666666666,0.3333333333333333,6,0.7280701754385965,0.5087719298245614,0.5739105850633371,0.5739105850633368,1.0
9819,0.725,0.4583333333333333,0.0,0.3333333333333333,3,0.7435897435897436,0.46153846153846156,0.5847568941324686,0.5847568941324687,1.0
9820,0.7333333333333333,0.5166666666666667,0.3333333333333333,0.6666666666666666,3,0.7435897435897436,0.5128205128205128,0.4335073784007485,0.43350737840074866,1.0
