seed,arm,favorable_policy,selected_policy,selection_tracks,relational_change,learned_cost,learned_reliability
707287,off,internal_attack,internal_attack,true,0.0,0.21000052762355473,0.98112128
707287,on,internal_attack,internal_attack,true,0.3344035881095152,0.21000052762355473,0.98112128
707287,ablation,internal_attack,internal_attack,true,0.0,0.21000052762355473,0.98112128
707288,off,oscillation,oscillation,true,0.0,0.26870345905454723,0.99692672
707288,on,oscillation,oscillation,true,0.3344035881095152,0.26870345905454723,0.99692672
707288,ablation,oscillation,oscillation,true,0.0,0.26870345905454723,0.99692672
707289,off,exclusion,exclusion,true,0.0,0.14393198408326963,0.9833340416
707289,on,exclusion,exclusion,true,0.3344035881095152,0.14393198408326963,0.9833340416
707289,ablation,exclusion,exclusion,true,0.0,0.14393198408326963,0.9833340416
707290,off,hypervigilance,exclusion,false,0.0,0.5589480425528123,0.9268860416
707290,on,hypervigilance,exclusion,false,0.3344035881095152,0.5589480425528123,0.9268860416
707290,ablation,hypervigilance,exclusion,false,0.0,0.5589480425528123,0.9268860416
707291,off,internal_attack,internal_attack,true,0.0,0.24431747263763484,0.79532672
707291,on,internal_attack,internal_attack,true,0.3344035881095152,0.24431747263763484,0.79532672
707291,ablation,internal_attack,internal_attack,true,0.0,0.24431747263763484,0.79532672
707292,off,oscillation,oscillation,true,0.0,0.18668548939733792,0.99692672
707292,on,oscillation,oscillation,true,0.3344035881095152,0.18668548939733792,0.99692672
707292,ablation,oscillation,oscillation,true,0.0,0.18668548939733792,0.99692672
707293,off,exclusion,exclusion,true,0.0,0.17890698905548175,0.7975394816
707293,on,exclusion,exclusion,true,0.3344035881095152,0.17890698905548175,0.7975394816
707293,ablation,exclusion,exclusion,true,0.0,0.17890698905548175,0.7975394816
707294,off,hypervigilance,hypervigilance,true,0.0,0.16330559700690916,0.9947139584
707294,on,hypervigilance,hypervigilance,true,0.3344035881095152,0.16330559700690916,0.9947139584
707294,ablation,hypervigilance,hypervigilance,true,0.0,0.16330559700690916,0.9947139584
707295,off,internal_attack,internal_attack,true,0.0,0.1021133354493078,0.99692672
707295,on,internal_attack,internal_attack,true,0.3344035881095152,0.1021133354493078,0.99692672
707295,ablation,internal_attack,internal_attack,true,0.0,0.1021133354493078,0.99692672
707296,off,oscillation,oscillation,true,0.0,0.15013106381383115,0.99692672
707296,on,oscillation,oscillation,true,0.3344035881095152,0.15013106381383115,0.99692672
707296,ablation,oscillation,oscillation,true,0.0,0.15013106381383115,0.99692672
707297,off,exclusion,exclusion,true,0.0,0.10097737808850564,0.9426914816
707297,on,exclusion,exclusion,true,0.3344035881095152,0.10097737808850564,0.9426914816
707297,ablation,exclusion,exclusion,true,0.0,0.10097737808850564,0.9426914816
707298,off,hypervigilance,hypervigilance,true,0.0,0.21701172247195263,0.9426914816
707298,on,hypervigilance,hypervigilance,true,0.3344035881095152,0.21701172247195263,0.9426914816
