t,phase,depth,capture,class,external_volatility
1,safe_baseline,0.8684,0.200882479276507,self,0.0
2,safe_baseline,0.876296,0.1994221817925185,self,0.0
3,safe_baseline,0.88371824,0.1977477057066245,self,0.0
4,safe_baseline,0.8906951456,0.1959247764725543,self,0.0
5,safe_baseline,0.8972534368639999,0.1940061726730448,self,0.0
6,safe_baseline,0.90341823065216,0.19203400743188423,self,0.0
7,safe_baseline,0.9092131368130304,0.19004162479661138,self,0.0
8,safe_baseline,0.9146603486042486,0.18805517470603172,self,0.0
9,safe_baseline,0.9197807276879937,0.1860949197835736,self,0.0
10,safe_baseline,0.924593884026714,0.18417631849837818,self,0.0
11,safe_baseline,0.9291182509851112,0.1823109219435707,self,0.0
12,safe_baseline,0.9333711559260046,0.1805071153702047,self,0.0
13,safe_baseline,0.9373688865704444,0.17877073049633305,self,0.0
14,safe_baseline,0.9411267533762178,0.1771055503240473,self,0.0
15,safe_baseline,0.9446591481736447,0.1755137246090217,self,0.0
16,safe_baseline,0.9479795992832261,0.17399611112438582,self,0.0
17,safe_baseline,0.9511008233262325,0.17255255534892996,self,0.0
18,safe_baseline,0.9540347739266585,0.17118211910920922,self,0.0
19,safe_baseline,0.956792687491059,0.1698832669493001,self,0.0
20,safe_baseline,0.9593851262415954,0.1686540175347763,self,0.0
21,safe_baseline,0.9618220186670997,0.16749206617192047,self,0.0
22,safe_baseline,0.9641126975470737,0.16639488349988493,self,0.0
23,safe_baseline,0.9662659356942493,0.165359794559429,self,0.0
24,safe_baseline,0.9682899795525944,0.16438404172931823,self,0.0
25,freeze_burst,0.9101925807794388,0.20091645418397075,self,0.95
26,freeze_burst,0.8555810259326725,0.23676890929618985,self,0.95
27,freeze_burst,0.8042461643767121,0.2718363110683984,self,0.95
28,freeze_burst,0.7559913945141095,0.3059980749931888,self,0.95
29,freeze_burst,0.7106319108432629,0.3391322457146937,mixed,0.95
30,freeze_burst,0.6679939961926672,0.3711257091054099,mixed,0.95
31,freeze_burst,0.6279143564211072,0.40188094216894443,mixed,0.95
32,freeze_burst,0.5902394950358407,0.43272653282981866,mixed,0.95
33,freeze_burst,0.5548251253336903,0.46319900418952753,mixed,0.95
34,freeze_burst,0.5215356178136689,0.49293108528066637,mixed,0.95
35,freeze_burst,0.49024348074484875,0.521645790435778,capture,0.95
36,freeze_burst,0.4608288719001578,0.5491438992352884,capture,0.95
37,freeze_burst,0.43317913958614834,0.5752912345858735,capture,0.95
38,freeze_burst,0.40718839121097944,0.6000067283522729,capture,0.95
39,freeze_burst,0.3827570877383207,0.6232517650587944,capture,0.95
40,freeze_burst,0.35979166247402145,0.6450209750381687,capture,0.95
41,freeze_burst,0.3382041627255802,0.6653344629713823,capture,0.95
42,freeze_burst,0.31791191296204535,0.6842313616586436,capture,0.95
43,freeze_burst,0.29883719818432264,0.701764559752387,capture,0.95
44,freeze_burst,0.2809069662932633,0.7179964424728051,capture,0.95
45,freeze_burst,0.2640525483156675,0.7329954910640559,capture,0.95
46,freeze_burst,0.24820939541672743,0.7468336010607968,capture,0.95
47,freeze_burst,0.2333168316917238,0.7595839963666893,capture,0.95
48,freeze_burst,0.21931782179022036,0.7713196331186332,capture,0.95
49,freeze_burst,0.20615875248280713,0.782112003102147,capture,0.95
50,freeze_burst,0.1937892273338387,0.7920302606128699,capture,0.95
51,freeze_burst,0.18216187369380837,0.8011406090233959,capture,0.95
52,freeze_burst,0.17123216127217988,0.809505893989472,capture,0.95
53,freeze_burst,0.1609582315958491,0.8171853593651118,capture,0.95
54,freeze_burst,0.15130073770009816,0.8242345296645474,capture,0.95
55,freeze_burst,0.14222269343809227,0.8307051894801164,capture,0.95
56,freeze_burst,0.13368933183180673,0.836645435796951,capture,0.95
57,freeze_burst,0.12566797192189832,0.8420997837800202,capture,0.95
58,freeze_burst,0.11812789360658442,0.8471093104732614,capture,0.95
59,low_depth_evidence,0.11104021999018936,0.83733154012686,capture,0.22
60,low_depth_evidence,0.10437780679077799,0.829443628954392,capture,0.22
61,low_depth_evidence,0.09811513838333132,0.8231500318877707,capture,0.22
62,low_depth_evidence,0.09222823008033143,0.8181973169297745,capture,0.22
63,low_depth_evidence,0.08669453627551155,0.8143685944270608,capture,0.22
64,low_depth_evidence,0.08149286409898085,0.8114786151708517,capture,0.22
65,low_depth_evidence,0.076603292253042,0.8093694692833577,capture,0.22
66,low_depth_evidence,0.07200709471785947,0.8079068229755363,capture,0.22
67,low_depth_evidence,0.0676866690347879,0.8069766349119267,capture,0.22
68,low_depth_evidence,0.06362546889270063,0.8064822984265148,capture,0.22
69,low_depth_evidence,0.05980794075913859,0.8063421603015059,capture,0.22
70,low_depth_evidence,0.056219464313590276,0.8064873712371842,capture,0.22
71,low_depth_evidence,0.05284629645477486,0.806860027450038,capture,0.22
72,low_depth_evidence,0.049675518667488365,0.8074115669743196,capture,0.22
73,low_depth_evidence,0.04669498754743906,0.808101388154475,capture,0.22
74,low_depth_evidence,0.043893288294592714,0.8088956614630404,capture,0.22
75,low_depth_evidence,0.04125969099691715,0.8097663091372622,capture,0.22
76,low_depth_evidence,0.03878410953710212,0.8106901301884959,capture,0.22
77,low_depth_evidence,0.03645706296487599,0.8116480511031634,capture,0.22
